BODYTYPE ,MAKE ,GENERIC MODEL ,BATTERY TYPE,CAPACITY(KWH),TOTAL_CAPACITY(KWH),MINERALS(KGS),2021,2020,2019,2018,2017,2016,2015,2014,2013,2012,2011,2010,TOTAL
CARS,TESLA,TESLA MODEL S,Lithium-ion,87.50,991375.00,3056739.58,18,904,1231,1887,2640,2455,1470,717,0,0,0,0,11322
CARS,FORD,FORD TOURNEO,Lithium-ion,58.50,994.50,3066.38,0,10,0,0,0,0,0,0,0,0,0,0,10
CARS,AUDI,AUDI Q8,Lithium-ion,18.80,2989.20,9216.70,130,0,0,0,0,0,0,0,0,0,0,0,130
CARS,DS,DS DS9,Lithium-ion,13.75,550.00,1695.83,15,0,0,0,0,0,0,0,0,0,0,0,15
CARS,GENESIS,GENESIS G80,Lithium-ion,77.40,619.20,1909.20,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,NISSAN,NISSAN NV200,Lithium-ion,40.00,58040.00,178956.67,398,275,237,73,132,120,97,24,0,0,0,0,1356
CARS,RENAULT,RENAULT TWIZY,Lithium-ion,6.10,3916.20,12074.95,0,0,0,28,12,50,97,47,125,283,0,0,642
CARS,SEAT,SEAT LEON,Lithium-ion,57.15,179736.75,554188.31,2197,868,0,0,0,0,0,0,0,0,0,0,3065
CARS,SSANGYONG,SSANGYONG KORANDO,Lithium-ion,52.50,3045.00,9388.75,8,0,0,0,0,0,0,0,0,0,0,0,8
CARS,TESLA,TESLA MODEL X,Lithium-ion,87.50,568400.00,1752566.67,50,1526,1284,1479,2115,42,0,0,0,0,0,0,6496
CARS,VOLKSWAGEN,VOLKSWAGEN GOLF,Lithium-ion,35.80,279526.40,861873.07,49,2692,3835,980,87,36,76,53,0,0,0,0,7808
CARS,AUDI,AUDI A7,Lithium-ion,15.70,3956.40,12198.90,74,161,0,0,0,0,0,0,0,0,0,0,235
CARS,AUDI,AUDI Q7,Lithium-ion,18.25,10165.25,31342.85,0,0,0,192,296,69,0,0,0,0,0,0,557
CARS,BMW,BMW I3,Lithium-ion,42.20,395329.60,1218932.93,0,0,250,2171,2503,1925,1604,831,84,0,0,0,9368
CARS,BMW,BMW I8,Lithium-ion,11.60,35670.00,109982.50,0,94,332,504,351,650,850,294,0,0,0,0,3075
CARS,BMW,BMW M5,Lithium-ion,14.00,112.00,345.33,0,0,0,0,8,0,0,0,0,0,0,0,8
CARS,CHEVROLET,CHEVROLET VOLT,Lithium-ion,18.40,2281.60,7034.93,0,0,0,0,0,0,0,0,63,61,0,0,124
CARS,CITROEN,CITROEN C-ZERO,Lithium-ion,14.50,3523.50,10864.13,0,0,0,0,0,24,0,0,63,110,46,0,243
CARS,FORD,FORD FOCUS,Lithium-ion,28.25,593.25,1829.19,0,0,0,0,5,0,0,11,5,0,0,0,21
CARS,HYUNDAI,HYUNDAI IX35,Lithium-ion,24.00,120.00,370.00,0,0,0,0,0,0,5,0,0,0,0,0,5
CARS,KIA,KIA XCEED,Lithium-ion,44.50,10368.50,31969.54,94,139,0,0,0,0,0,0,0,0,0,0,233
CARS,KIA,KIA OPTIMA,Lithium-ion,12.53,9898.70,30520.99,0,41,144,147,220,238,0,0,0,0,0,0,790
CARS,LEVC,LEVC TX,Lithium-ion,31.00,155.00,477.92,0,5,0,0,0,0,0,0,0,0,0,0,5
CARS,MERCEDES,MERCEDES B CLASS,Lithium-ion,28.00,16660.00,51368.33,0,0,0,0,130,282,183,0,0,0,0,0,595
CARS,MERCEDES,MERCEDES B CLASS,Lithium-ion,28.00,14840.00,45756.67,332,81,0,0,0,0,0,0,0,0,0,0,413
CARS,MIA,MIA C,Lithium-polymer,12.00,96.00,296.00,0,0,0,0,0,0,0,0,8,0,0,0,8
CARS,MITSUBISHI,MITSUBISHI I-MIEV,Lithium-ion,16.00,4112.00,12678.67,0,0,0,0,0,0,0,0,0,107,124,26,257
CARS,MITSUBISHI,MITSUBISHI OUTLANDER,Lithium-ion,12.90,693749.10,2139059.73,1992,3414,5989,8556,7408,9372,11686,5362,0,0,0,0,53779
CARS,PEUGEOT,PEUGEOT 307,Lead-acid,22.50,517.50,1595.63,0,0,0,0,0,0,0,0,0,0,23,0,23
CARS,PEUGEOT,PEUGEOT EXPERT,Lithium-ion,62.50,437.50,1348.96,0,0,0,0,0,0,0,0,0,0,0,7,7
CARS,PEUGEOT,PEUGEOT ION,Lithium-ion,16.00,7280.00,22446.67,0,0,0,5,10,33,20,18,26,223,120,0,455
CARS,PORSCHE,PORSCHE 918,Lithium-ion,6.80,401.20,1237.03,0,0,0,0,0,0,53,6,0,0,0,0,59
CARS,RENAULT,RENAULT FLUENCE,Lithium-ion,22.00,1562.00,4816.17,0,0,0,0,0,0,0,0,7,64,0,0,71
CARS,REVA,REVA G-WIZ,Lead-acid,13.00,364.00,1122.33,0,0,0,0,0,0,0,0,0,0,7,21,28
CARS,SEAT,SEAT MII,Lithium-ion,36.80,54427.20,167817.20,1183,296,0,0,0,0,0,0,0,0,0,0,1479
CARS,SKODA,SKODA CITIGO,Lithium-ion,36.80,12622.40,38919.07,54,289,0,0,0,0,0,0,0,0,0,0,343
CARS,TESLA,TESLA ROADSTER,Lithium-ion,61.50,4551.00,14032.25,0,0,0,0,0,0,0,0,0,8,19,47,74
CARS,TOYOTA,TOYOTA BZ4X,Lithium-ion,71.00,12070.00,37215.83,0,0,0,0,0,0,0,0,0,0,0,0,0
CARS,TOYOTA,TOYOTA PRIUS,Nickel-metal hydride (NiMH),1.30,9633.00,29701.75,0,0,0,795,3673,2942,0,0,0,0,0,0,7410
CARS,VAUXHALL,VAUXHALL AMPERA,Lithium-ion,16.60,22244.00,68585.67,0,0,0,0,0,0,108,529,251,452,0,0,1340
CARS,VOLKSWAGEN,VOLKSWAGEN XL1,Lithium-ion,5.50,110.00,339.17,0,0,0,0,0,0,20,0,0,0,0,0,20
CARS,VOLVO,VOLVO V60,Lithium-ion,11.60,9860.00,30401.67,0,0,0,20,194,284,114,163,75,0,0,0,850
HEAVY GOODS VEHICLES,FORD,FORD TRANSIT,Lithium-ion,79.50,12879.00,39710.25,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLES,FIAT,FIAT DUCATO,Lithium-ion,63.00,4095.00,12626.25,0,0,0,0,0,0,0,0,0,0,0,0,0
HEAVY GOODS VEHICLES,MAXUS,MAXUS DELIVER,Lithium-ion,61.75,12350.00,38079.17,27,0,0,0,0,0,0,0,0,0,0,0,27
HEAVY GOODS VEHICLES,MITSUBISHI FUSO,MITSUBISHI FUSO CANTER,Lithium-ion,76.00,684.00,2109.00,0,0,0,9,0,0,0,0,0,0,0,0,9
LIGHT GOODS VEHICLES,VAUXHALL,VAUXHALL VIVARO,Lithium-ion,62.50,376562.50,1161067.71,2752,266,0,0,0,0,0,0,0,0,0,0,3018
LIGHT GOODS VEHICLES,FORD,FORD TRANSIT,Lithium-ion,79.50,69642.00,214729.50,0,6,0,0,0,0,0,0,0,0,0,0,6
LIGHT GOODS VEHICLES,MAXUS,MAXUS DELIVER,Lithium-ion,61.75,148385.25,457521.19,1467,48,0,0,0,0,0,0,0,0,0,0,1515
LIGHT GOODS VEHICLES,PEUGEOT,PEUGEOT PARTNER,Lithium-ion,50.00,84150.00,259462.50,28,10,198,120,153,34,33,24,0,0,0,0,600
LIGHT GOODS VEHICLES,PEUGEOT,PEUGEOT EXPERT,Lithium-ion,62.50,138125.00,425885.42,937,60,0,0,0,0,0,0,0,0,0,0,997
LIGHT GOODS VEHICLES,MERCEDES,MERCEDES VITO,Lithium-ion,50.70,126090.90,388780.28,1064,184,121,0,0,0,5,0,6,0,0,0,1380
LIGHT GOODS VEHICLES,TOYOTA,TOYOTA PROACE,Lithium-ion,62.50,75312.50,232213.54,592,0,0,0,0,0,0,0,0,0,0,0,592
LIGHT GOODS VEHICLES,VAUXHALL,VAUXHALL COMBO,Lithium-ion,50.00,38150.00,117629.17,160,0,0,0,0,0,0,0,0,0,0,0,160
LIGHT GOODS VEHICLES,LEVC,LEVC VN5,Lithium-ion,31.00,20150.00,62129.17,347,21,0,0,0,0,0,0,0,0,0,0,368
LIGHT GOODS VEHICLES,MERCEDES,MERCEDES SPRINTER,Lithium-ion,45.00,107865.00,332583.75,1144,953,0,0,0,0,0,0,0,0,0,0,2097
LIGHT GOODS VEHICLES,CITROEN,CITROEN BERLINGO,Lithium-ion,50.00,25300.00,78008.33,12,21,72,72,36,16,0,0,0,0,0,0,229
LIGHT GOODS VEHICLES,CITROEN,CITROEN DISPATCH,Lithium-ion,50.00,31400.00,96816.67,280,13,0,0,0,0,0,0,0,0,0,0,293
LIGHT GOODS VEHICLES,RENAULT,RENAULT KANGOO,Lithium-ion,38.50,184492.00,568850.33,942,1157,957,307,163,135,103,225,173,259,33,0,4454
LIGHT GOODS VEHICLES,RENAULT,RENAULT ZOE,Lithium-ion,53.50,40874.00,126028.17,505,14,0,0,0,0,0,0,0,0,0,0,519
LIGHT GOODS VEHICLES,FIAT,FIAT SCUDO,Lithium-ion,50.00,2500.00,7708.33,0,0,0,0,0,0,0,0,0,0,0,0,0
LIGHT GOODS VEHICLES,FORD,FORD TRANSIT CUSTOM,Lithium-ion,79.50,84747.00,261303.25,727,210,0,0,0,0,0,0,0,0,0,0,937
LIGHT GOODS VEHICLES,NISSAN,NISSAN NV200,Lithium-ion,40.00,357680.00,1102846.67,1575,2146,1629,589,796,759,639,381,0,0,0,0,8514
LIGHT GOODS VEHICLES,FIAT,FIAT DUCATO,Lithium-ion,63.00,4095.00,12626.25,33,0,0,0,0,0,0,0,0,0,0,0,33
LIGHT GOODS VEHICLES,CITROEN,CITROEN RELAY,Lithium-ion,53.50,6206.00,19135.17,109,0,0,0,0,0,0,0,0,0,0,0,109
LIGHT GOODS VEHICLES,DFSK,DFSK EC35,Lithium-ion,50.00,1600.00,4933.33,0,0,0,0,0,0,0,0,0,0,0,0,0
LIGHT GOODS VEHICLES,ALKE,ALKE ATX,Lead-acid,13424.00,295328.00,910594.67,7,0,0,0,0,0,0,0,0,0,0,0,7
LIGHT GOODS VEHICLES,RENAULT,RENAULT TWIZY,Lithium-ion,6.10,445.30,1373.01,17,8,36,0,0,0,0,0,0,0,0,0,61
LIGHT GOODS VEHICLES,MITSUBISHI,MITSUBISHI OUTLANDER,Lithium-ion,12.90,13661.10,42121.73,121,320,206,147,94,77,94,0,0,0,0,0,1059
MOTORCYCLES,SILENCE,SILENCE S SERIES,Lithium-ion,5.60,1271.20,3919.53,97,0,0,0,0,0,0,0,0,0,0,0,97
MOTORCYCLES,YAMAHA,YAMAHA NEO'S,Lithium-ion,0.54,17.28,53.28,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,KEEWAY,KEEWAY E-ZI,Lithium-ion,1.80,349.20,1076.70,88,0,0,0,0,0,0,0,0,0,0,0,88
MOTORCYCLES,NIU,NIU M SERIES,Lithium-ion,2.25,1206.00,3718.50,152,139,131,5,0,0,0,0,0,0,0,0,427
MOTORCYCLES,VMOTO,VMOTO CUX,Lithium-ion,1.50,538.50,1660.38,124,90,51,0,0,0,0,0,0,0,0,0,265
MOTORCYCLES,YADEA,YADEA S-LIKE,Lithium-ion,2.10,163.80,505.05,27,0,0,0,0,0,0,0,0,0,0,0,27
MOTORCYCLES,VMOTO,VMOTO TC1,Lithium-ion,2.88,1088.64,3356.64,61,94,110,63,0,0,0,0,0,0,0,0,328
MOTORCYCLES,ELECTRIC MOTION,ELECTRIC MOTION EPURE,Lithium-ion,3.90,635.70,1960.08,106,0,0,0,0,0,0,0,0,0,0,0,106
MOTORCYCLES,HORWIN,HORWIN CR6,Lithium-ion,3.24,353.16,1088.91,28,31,0,0,0,0,0,0,0,0,0,0,59
MOTORCYCLES,VMOTO,VMOTO TS1,Lithium-ion,2.40,393.60,1213.60,60,44,0,0,0,0,0,0,0,0,0,0,104
MOTORCYCLES,YADEA,YADEA G5,Lithium-ion,3.00,447.00,1378.25,44,12,0,0,0,0,0,0,0,0,0,0,56
MOTORCYCLES,ASKOLL,ASKOLL ESPRO,Lithium-ion,2.70,1090.80,3363.30,219,8,27,0,0,0,0,0,0,0,0,0,254
MOTORCYCLES,E-MAX,E-MAX LB1,Lithium-ion,3.50,1165.50,3593.63,32,0,0,0,0,0,0,0,0,0,0,0,32
MOTORCYCLES,LEXMOTO,LEXMOTO LX,Lithium-ion,2.25,101.25,312.19,9,0,0,0,0,0,0,0,0,0,0,0,9
MOTORCYCLES,SUNRA,SUNRA ROBO,Lithium-ion,1.56,74.88,230.88,19,0,0,0,0,0,0,0,0,0,0,0,19
MOTORCYCLES,BMW,BMW CE,Lithium-ion,3.20,291.20,897.87,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,VMOTO,VMOTO CUM,Lithium-ion,1.56,35.88,110.63,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,HORWIN,HORWIN EK3,Lithium-ion,4.32,371.52,1145.52,48,0,0,0,0,0,0,0,0,0,0,0,48
MOTORCYCLES,LVNENG,LVNENG LX,Lithium-ion,2.50,135.00,416.25,27,0,0,0,0,0,0,0,0,0,0,0,27
MOTORCYCLES,HORWIN,HORWIN EK1,Lithium-ion,1.92,211.20,651.20,80,0,0,0,0,0,0,0,0,0,0,0,80
MOTORCYCLES,ZERO,ZERO S ZF,Lithium-ion,10.80,864.00,2664.00,30,17,0,0,0,0,0,0,0,0,0,0,47
MOTORCYCLES,LEXMOTO,LEXMOTO CYPHER,Lithium-ion,2.88,204.48,630.48,17,0,0,0,0,0,0,0,0,0,0,0,17
MOTORCYCLES,PIAGGIO,PIAGGIO VESPA,Lithium-ion,3.30,636.90,1963.78,72,53,44,0,0,0,0,0,0,0,0,0,169
MOTORCYCLES,SAKURA,SAKURA JS2A,Lithium-ion,2.30,158.70,489.33,39,12,0,0,0,0,0,0,0,0,0,0,51
MOTORCYCLES,ZERO,ZERO FX ZF,Lithium-ion,5.40,221.40,682.65,7,5,0,0,0,0,0,0,0,0,0,0,12
MOTORCYCLES,ZERO,ZERO SRS ZF,Lithium-ion,14.40,1368.00,4218.00,31,32,0,0,0,0,0,0,0,0,0,0,63
MOTORCYCLES,ARTISAN,ARTISAN EV 2000,Lithium-ion,40.00,7760.00,23926.67,73,56,22,11,0,0,0,0,0,0,0,0,162
MOTORCYCLES,SUNRA,SUNRA MIKU,Lithium-ion,0.60,32.40,99.90,18,0,0,0,0,0,0,0,0,0,0,0,18
MOTORCYCLES,UBCO,UBCO 2X2,Lithium-ion,2.10,140.70,433.83,27,0,0,0,0,0,0,0,0,0,0,0,27
MOTORCYCLES,NIU,NIU U SERIES,Lithium-ion,2.40,492.00,1517.00,77,53,33,0,0,0,0,0,0,0,0,0,163
MOTORCYCLES,SUR-RON,SUR-RON STORM BEE,Lithium-ion,2.60,148.20,456.95,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,DAYI MOTOR,DAYI MOTOR E-ODIN,Lithium-ion,5.00,45.00,138.75,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,ZERO,ZERO SRF ZF,Lithium-ion,14.40,1281.60,3951.60,37,6,18,0,0,0,0,0,0,0,0,0,61
MOTORCYCLES,BILIS,BILIS LX04,Lithium-ion,2.56,76.80,236.80,16,0,0,0,0,0,0,0,0,0,0,0,16
MOTORCYCLES,COOPOP,COOPOP Q1,Lithium-ion,2.00,72.00,222.00,14,0,0,0,0,0,0,0,0,0,0,0,14
MOTORCYCLES,MGB,MGB G1,Lithium-ion,3.00,42.00,129.50,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,ELECTRIC MOTION,ELECTRIC MOTION ESCAPE,Lithium-ion,6.00,150.00,462.50,14,0,0,0,0,0,0,0,0,0,0,0,14
MOTORCYCLES,MGB,MGB E4,Lithium-ion,4.00,48.00,148.00,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,NIU,NIU MGT,Lithium-ion,3.12,230.88,711.88,39,0,0,0,0,0,0,0,0,0,0,0,39
MOTORCYCLES,NIU,NIU N SERIES,Lithium-ion,2.40,444.00,1369.00,35,49,52,19,0,0,0,0,0,0,0,0,155
MOTORCYCLES,ARTISAN,ARTISAN JS,Lithium-ion,19.20,384.00,1184.00,5,5,0,0,0,0,0,0,0,0,0,0,10
MOTORCYCLES,LEXMOTO,LEXMOTO ZS,Lithium-ion,2.90,611.90,1886.69,160,35,0,0,0,0,0,0,0,0,0,0,195
MOTORCYCLES,VOGE,VOGE ER10,Lithium-ion,4.20,21.00,64.75,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,ZERO,ZERO SR ZF,Lithium-ion,14.40,144.00,444.00,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,ARTISAN,ARTISAN ES1-PRO,Lithium-ion,8.00,232.00,715.33,5,13,0,0,0,0,0,0,0,0,0,0,18
MOTORCYCLES,ARTISAN,ARTISAN EVO,Lithium-ion,17.00,527.00,1624.92,5,5,16,0,0,0,0,0,0,0,0,0,26
MOTORCYCLES,EFUN,EFUN TIGER,Lithium-ion,3.20,25.60,78.93,8,0,0,0,0,0,0,0,0,0,0,0,8
MOTORCYCLES,E-MAX,E-MAX VSA,Lithium-ion,1.80,30.60,94.35,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,ENERGICA,ENERGICA EVA,Lithium-ion,21.50,301.00,928.08,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,HARLEY-DAVIDSON,HARLEY-DAVIDSON ELW,Lithium-ion,15.50,1519.00,4683.58,34,38,13,0,0,0,0,0,0,0,0,0,85
MOTORCYCLES,TROMOX,TROMOX MINO,Lithium-ion,3.20,19.20,59.20,6,0,0,0,0,0,0,0,0,0,0,0,6
MOTORCYCLES,VMOTO,VMOTO SOCO TS,Lithium-ion,1.80,140.40,432.90,17,13,6,37,5,0,0,0,0,0,0,0,78
MOTORCYCLES,ZERO,ZERO DS ZF,Lithium-ion,7.20,79.20,244.20,0,0,0,0,0,0,0,0,0,0,0,0,0
MOTORCYCLES,ZERO,ZERO DSR ZF,Lithium-ion,14.40,288.00,888.00,7,0,0,13,0,0,0,0,0,0,0,0,20
MOTORCYCLES,ZERO,ZERO FXS ZF,Lithium-ion,7.20,547.20,1687.20,35,24,5,5,0,0,0,0,0,0,0,0,69
MOTORCYCLES,ARTISAN,ARTISAN EV 1200,Lithium-ion,4.80,168.00,518.00,0,0,0,12,18,5,0,0,0,0,0,0,35
MOTORCYCLES,BMW,BMW C EVOLUTION,Lithium-ion,12.70,1638.30,5051.43,0,8,11,30,35,10,18,17,0,0,0,0,129
MOTORCYCLES,ECOOTER,ECOOTER E1,Lithium-ion,1.90,39.90,123.03,0,21,0,0,0,0,0,0,0,0,0,0,21
MOTORCYCLES,ERIDER,ERIDER B2000,Lithium-ion,2.40,122.40,377.40,0,0,0,18,27,0,0,0,0,0,0,6,51
MOTORCYCLES,ERIDER,ERIDER B3000,Lithium-ion,3.60,50.40,155.40,0,0,0,0,0,0,0,0,0,0,0,14,14
MOTORCYCLES,ERIDER,ERIDER T4000,Lithium-ion,4.80,48.00,148.00,0,0,0,0,0,0,0,0,0,0,5,5,10
MOTORCYCLES,LIFAN,LIFAN LF 1200,Lithium-ion,1.90,138.70,427.66,0,16,57,0,0,0,0,0,0,0,0,0,73
MOTORCYCLES,LVNENG,LVNENG LN,Lithium-ion,1.60,38.40,118.40,18,6,0,0,0,0,0,0,0,0,0,0,24
MOTORCYCLES,NIU,NIU NGT,Lithium-ion,2.70,594.00,1831.50,0,57,163,0,0,0,0,0,0,0,0,0,220
MOTORCYCLES,SAITING,SAITING ST,Lithium-ion,2.80,33.60,103.60,0,0,0,0,0,0,0,0,0,12,0,0,12
MOTORCYCLES,SCUTUM,SCUTUM S,Lithium-ion,4.90,583.10,1797.89,0,0,6,0,7,106,0,0,0,0,0,0,119
MOTORCYCLES,TORROT,TORROT MUVI,Lithium-ion,1.80,86.40,266.40,0,0,0,25,23,0,0,0,0,0,0,0,48
MOTORCYCLES,VECTRIX,VECTRIX MAXI SCOOTER,Lithium-ion,13.00,65.00,200.42,0,0,0,0,0,0,0,0,0,0,0,5,5
MOTORCYCLES,VMOTO,VMOTO VT 120,Lead-acid,0.70,144.20,444.62,38,0,104,64,0,0,0,0,0,0,0,0,206
MOTORCYCLES,WK BIKES,WK BIKES E-COLT,Lithium-ion,2.40,28.80,88.80,0,12,0,0,0,0,0,0,0,0,0,0,12
MOTORCYCLES,YAMAHA,YAMAHA ED,Lithium-ion,0.50,77.50,238.96,0,0,0,0,0,0,32,62,20,41,0,0,155
MOTORCYCLES,YINHUA,YINHUA TDR,Lead-acid,0.72,16.56,51.06,0,0,0,0,0,0,23,0,0,0,0,0,23
OTHER VEHICLES,LEVC,LEVC TX,Lithium-ion,31.00,207204.00,638879.00,1103,943,2132,1197,0,0,0,0,0,0,0,0,5375
OTHER VEHICLES,NISSAN,NISSAN NV200,Lithium-ion,40.00,6800.00,20966.67,94,66,10,0,0,0,0,0,0,0,0,0,170
